u1 : 1038860.AXAP01000041 gene2806 (BradyrhizobiumelkaniiWSM2783) 
u760 : 1001530.BACE01000011 gene2268 (Photobacteriumleiognathisubsp.mandapamensissvers.1.1.) 
u761 : 1248232.BANQ01000038 gene3886 (Photobacteriumleiognathilrivu.4.1) 
u764 : 1278307.KB906967 gene2588 (PsychromonasossibalaenaeATCCBAA-1528) 
u765 : 1265503.KB905166 gene718 (ColwelliapiezophilaATCCBAA-637) 
u766 : 1535422.ND16A 2563 (Thalassotaleasp.ND16A) 
u769 : 1190606.AJYG01000007 gene2419 (Enterovibriocalviensis1F-211) 
u770 : 754436.JCM19237 5068 (Photobacteriumaphoticum) 
u771 : 90371.CY43 20110 (Salmonellaentericasubsp.entericaserovarTyphimurium) 
u775 : 305900.GV64 11945 (Endozoicomonaselysicola) 
u776 : 675817.VDA 000287 (Photobacteriumdamselaesubsp.damselaeCIP102761) 
u782 : 1219077.VAZ01S 060 00130 (VibrioazureusNBRC104587) 
u783 : 658187.LDG 5215 (LegionelladrancourtiiLLAP12) 
u784 : 658187.LDG 7105 (LegionelladrancourtiiLLAP12) 
u786 : 1547445.LO80 02110 (Francisellasp.FSC1006) 
u787 : 573569.F7308 1210 (Francisellasp.TX077308) 
u788 : 676032.FN3523 0802 (Francisellacf.tularensissubsp.novicida3523) 
u789 : 376619.FTL 0879 (Francisellatularensissubsp.holarcticaLVS) 
u790 : 177416.FTT 0611c (Francisellatularensissubsp.tularensisSCHUS4) 
u795 : 1547445.LO80 00090 (Francisellasp.FSC1006) 
u796 : 676032.FN3523 0669 (Francisellacf.tularensissubsp.novicida3523) 
u797 : 376619.FTL 0957 (Francisellatularensissubsp.holarcticaLVS) 
u798 : 177416.FTT 0681c (Francisellatularensissubsp.tularensisSCHUS4) 
u801 : 573569.F7308 1538 (Francisellasp.TX077308) 
u802 : 1163389.OOM 1372 (Francisellanoatunensissubsp.orientalisstr.Toba04) 
u808 : 857571.EA1 07574 (MoraxellacatarrhalisO35E) 
u809 : 743974.MBO 04589 (Moraxellabovoculi237) 
u814 : 1415754.JQMK01000013 gene403 (Marinobactersp.MCTG268) 
u815 : 1112209.AHVZ01000006 gene1770 (Psychrobactersp.PAMC21119) 
u816 : 1401065.HMPREF2130 11640 (OligellaurethralisDNF00040) 
u818 : 351348.Maqu 1080 (MarinobacterhydrocarbonoclasticusVT8) 
u819 : 1318628.MARLIPOL 14410 (MarinobacterlipolyticusSM19) 
u821 : 999141.GME 11182 (Halomonassp.TD01) 
u823 : 1118153.MOY 14712 (Halomonassp.GFAJ-1) 
u824 : 232346.JHQL01000001 gene2620 (Halomonasalkaliantarctica) 
u826 : 232346.JHQL01000001 gene2622 (Halomonasalkaliantarctica) 
u827 : 1207055.C100 05340 (Sphingobiumsp.C100) 
u833 : 384765.SIAM614 09023 (LabrenziaaggregataIAM12614) 
u834 : 1247024.JRLH01000008 gene1537 (Arsenophonusendosymbiontstr.HangzhouofNilaparvatalugens) 
u835 : 1166130.H650 03175 (Enterobactersp.R4-368) 
u837 : 1235457.C404 14020 (Ralstoniasp.AU12-08) 
u838 : 941449.dsx2 1043 (Desulfovibriosp.X2) 
u839 : 941449.dsx2 1119 (Desulfovibriosp.X2) 
u846 : 1472418.BBJC01000004 gene1921 (Falsirhodobactersp.alg1) 
u847 : 314264.ROS217 14606 (Roseovariussp.217) 
u848 : 391613.RTM1035 04185 (Roseovariussp.TM1035) 
u850 : 1305735.JAFT01000004 gene318 (Oceanicolasp.HL-35) 
u852 : 1449351.RISW2 18170 (RoseivivaxisoporaeLMG25204) 
u853 : 1449351.RISW2 17230 (RoseivivaxisoporaeLMG25204) 
u857 : 1336245.JAGO01000018 gene83 (CarnimonasnigrificansATCCBAA-78) 
u858 : 314231.FP2506 10526 (FulvimarinapelagiHTCC2506) 
u859 : 1156935.QWE 15813 (AgrobacteriumalbertimagniAOL15) 
u861 : 1240350.AMZE01000008 gene4320 (PseudomonasputidaMTCC5279) 
u862 : 511.JT27 17505 (Alcaligenesfaecalis) 
u869 : 472175.EL18 00519 (Nitratireductorbasaltis) 
u870 : 1231190.NA8A 06063 (NitratireductorindicusC115) 
u872 : 391937.NA2 19046 (Nitratireductorpacificuspht-3B) 
u875 : 1248916.ANFY01000005 gene2814 (Sandarakinorhabdussp.AAP62) 
u876 : 1449076.JOOE01000004 gene492 (Sphingomonassp.UNC305MFCol5.2) 
u880 : 1007105.PT7 2256 (Pusillimonassp.T7-7) 
u881 : 398767.Glov 2580 (GeobacterlovleyiSZ) 
u883 : 626887.J057 10551 (MarinobacternanhaiticusD15-8W) 
u884 : 1026882.MAMP 01962 (MethylophagaaminisulfidivoransMP) 
u887 : 717785.HYPMC 4554 (Hyphomicrobiumsp.MC1) 
u888 : 1234364.AMSF01000088 gene2736 (DyellaginsengisoliLA-4) 
u889 : 1163408.UU9 06759 (RhodanobacterfulvusJip2) 
u890 : 1163407.UU7 13423 (RhodanobacterspathiphylliB39) 
u895 : 517722.AEUE01000004 gene940 (Citromicrobiumsp.JLT1363) 
u896 : 1114964.L485 20475 (SphingobiumbaderiLL03) 
u897 : 13690.CP98 03984 (Sphingobiumyanoikuyae) 
u898 : 1144307.PMI04 01462 (Sphingobiumsp.AP49) 
u900 : 1192759.AKIB01000116 gene3715 (SphingobiumxenophagumQYY) 
u901 : 1522072.IL54 3906 (Sphingobiumsp.ba1) 
u902 : 1207055.C100 07645 (Sphingobiumsp.C100) 
u903 : 1331060.RLDS 23925 (SphingobiumlactosutensDS20) 
u904 : 314266.SKA58 08529 (Sphingomonassp.SKA58) 
u910 : 1346791.M529 20895 (SphingobiumummarienseRL-3) 
u912 : 1335760.ASTG01000009 gene224 (Sphingobiumsp.YL23) 
u913 : 46429.BV95 00864 (Sphingobiumchlorophenolicum) 
u914 : 452662.SJA C1-21720 (SphingobiumjaponicumUT26S) 
u918 : 1219045.BV98 000919 (SphingobiumherbicidovoransNBRC16415) 
u920 : 13689.BV96 01885 (Sphingomonaspaucimobilis) 
u923 : 1174684.EBMC1 09779 (Sphingopyxissp.MC1) 
u924 : 685035.ADAE01000020 gene1487 (CitromicrobiumbathyomarinumJL354) 
u925 : 1248760.ANFZ01000009 gene1402 (Blastomonassp.AAP53) 
u926 : 1545915.JROG01000003 gene1162 (Sphingomonassp.35-24ZXX) 
u932 : 1282361.ABAC402 10995 (Asticcacaulissp.AC402) 
u933 : 1282360.ABAC460 20540 (Asticcacaulissp.AC460) 
u935 : 1282362.AEAC466 11315 (Asticcacaulissp.AC466) 
u936 : 573065.Astex 0989 (AsticcacaulisexcentricusCB48) 
u939 : 1550073.JROH01000022 gene210 (Sphingomonassp.37zxx) 
u941 : 335283.Neut 1060 (NitrosomonaseutrophaC91) 
u944 : 1254432.SCE1572 11710 (SorangiumcellulosumSo0157-2) 
u946 : 426117.M446 1390 (Methylobacteriumsp.4-46) 
u947 : 460265.Mnod 1011 (MethylobacteriumnodulansORS2060) 
u949 : 1380394.JADL01000002 gene1659 (RhodospirillalesbacteriumURHD0088) 
u951 : 1096546.WYO 2883 (Methylobacteriumsp.GXF4) 
u952 : 426355.Mrad2831 4082 (MethylobacteriumradiotoleransJCM2831) 
u953 : 693986.MOC 4786 (MethylobacteriumoryzaeCBMB20) 
u960 : 380358.XALC 2439 (XanthomonasalbilineansGPEPC73) 
u961 : 1205753.A989 18070 (XanthomonastranslucensDAR61454) 
u962 : 340.xcc-b100 1156 (Xanthomonascampestrispv.campestris) 
u963 : 1219375.CM002139 gene2600 (XanthomonascassavaeCFBP4642) 
u965 : 863365.XHC 3320 (Xanthomonashortorumpv.carotaestr.M081) 
u966 : 454957.IA64 04780 (Xanthomonasarboricolapv.celebensis) 
u968 : 325777.GW15 0214380 (Xanthomonasaxonopodispv.vasculorum) 
u969 : 1094184.KWO 0100720 (Xanthomonascampestrispv.musacearumNCPPB4379) 
u970 : 316273.XCV3293 (Xanthomonascampestrispv.vesicatoriastr.85-10) 
u971 : 383407.XOC 3372 (Xanthomonasoryzaepv.oryzicolaBLS256) 
u979 : 1442599.JAAN01000012 gene128 (LuteimonashuabeiensisHB2) 
u980 : 935567.JAES01000021 gene2657 (PseudoxanthomonassuwonensisJ43) 
u981 : 1211114.ALIP01000008 gene2588 (Pseudoxanthomonassp.GW2) 
u982 : 743721.Psesu 0578 (Pseudoxanthomonassuwonensis11-1) 
u985 : 1118235.CAJH01000066 gene3579 (StenotrophomonasmaltophiliaPML168) 
u986 : 1429851.X548 14390 (Stenotrophomonasmaltophilia5BA-I-2) 
u987 : 391008.Smal 3136 (StenotrophomonasmaltophiliaR551-3) 
u988 : 522373.Smlt3722 (StenotrophomonasmaltophiliaK279a) 
u995 : 1131451.O1K 09437 (XanthomonasfragariaeLMG25863) 
u996 : 1510531.JQJJ01000010 gene2226 (Boseasp.UNC402CLCol) 
u997 : 593105.S7A 17854 (Pantoeasp.Sc1) 
u1000 : 1131814.JAFO01000001 gene2808 (Xanthobactersp.126) 
u1003 : 84531.JMTZ01000030 gene192 (Lysobacterantibioticus) 
u1004 : 438753.AZC 4278 (AzorhizobiumcaulinodansORS571) 
u1005 : 1038858.AXBA01000013 gene2389 (AzorhizobiumdoebereineraeUFLA1-100) 
u1009 : 69395.JQLZ01000001 gene3232 (Caulobacterhenricii) 
u1010 : 1449049.JONW01000008 gene580 (Caulobactersp.UNC358MFTsu5.1) 
u1011 : 366602.Caul 0997 (Caulobactersp.K31) 
u1016 : 42565.FP66 09765 (Halomonassalina) 
u1017 : 1410620.SHLA 14c001120 (Shinellasp.DD12) 
u1019 : 1380387.JADM01000003 gene2568 (Alcanivoraxsp.43B_GOM-46m) 
u1020 : 930169.B5T 03409 (AlcanivoraxdieseloleiB5) 
u1023 : 1041147.AUFB01000002 gene3211 (RhizobiumleucaenaeUSDA9039) 
u1024 : 311403.Arad 1449 (AgrobacteriumradiobacterK84) 
u1025 : 359.CN09 12050 (Agrobacteriumrhizogenes) 
u1028 : 698761.RTCIAT899 CH05265 (RhizobiumtropiciCIAT899) 
u1029 : 1500306.JQLA01000005 gene2302 (Rhizobiumsp.OK494) 
u1032 : 1079460.ATTQ01000005 gene2075 (RhizobiummongolenseUSDA1844) 
u1033 : 1041146.ATZB01000001 gene4636 (RhizobiumsullaeWSM1592) 
u1035 : 1211777.BN77 1971 (RhizobiummesoamericanumSTM3625) 
u1036 : 1144312.PMI09 02015 (Rhizobiumsp.CF122) 
u1037 : 990285.RGCCGE502 05769 (RhizobiumgrahamiiCCGE502) 
u1038 : 1500304.JQKY01000027 gene1255 (Rhizobiumsp.CF394) 
u1039 : 1042326.AZNV01000024 gene2398 (Rhizobiumsp.IBUN) 
u1044 : 1246459.KB898382 gene2783 (Rhizobiumsp.2MFCol3.1) 
u1045 : 1500259.JQLD01000005 gene301 (Rhizobiumsp.YR519) 
u1049 : 492774.JQMB01000010 gene4668 (Rhizobiumalamii) 
u1050 : 1041138.KB890227 gene6480 (Rhizobiumgallicumbv.gallicumR602sp) 
u1051 : 1041142.ATTP01000022 gene5804 (Rhizobiumleguminosarumbv.viciaeGB30) 
u1052 : 216596.RL1352 (Rhizobiumleguminosarumbv.viciae3841) 
u1053 : 936136.ARRT01000006 gene2371 (Rhizobiumleguminosarumbv.viciae248) 
u1057 : 395492.Rleg2 0855 (Rhizobiumleguminosarumbv.trifoliiWSM2304) 
u1058 : 1132836.RCCGE510 02476 (Rhizobiumsp.CCGE510) 
u1060 : 1033991.RLEG12 15615 (Rhizobiumleguminosarumbv.trifoliiCB782) 
u1062 : 347834.RHE CH01220 (RhizobiumetliCFN42) 
u1063 : 491916.RHECIAT CH0001308 (RhizobiumetliCIAT652) 
u1064 : 1432050.IE4771 CH01291 (Rhizobiumetlibv.mimosaestr.IE4771) 
u1072 : 1500257.JQNM01000003 gene5256 (Rhizobiumsp.YR295) 
u1073 : 1500301.JQMF01000007 gene1382 (Rhizobiumsp.CF097) 
u1074 : 1041139.KB902735 gene5975 (Rhizobiumgiardiniibv.giardiniiH152) 
u1077 : 366394.Smed 0594 (SinorhizobiummedicaeWSM419) 
u1078 : 935557.ATYB01000014 gene1983 (SinorhizobiumarborisLMG14919) 
u1079 : 266834.SMc00047 (Sinorhizobiummeliloti1021) 
u1082 : 1117943.SFHH103 00676 (SinorhizobiumfrediiHH103) 
u1083 : 394.NGR c07370 (SinorhizobiumfrediiNGR234) 
u1085 : 1057002.KB905370 gene4857 (Ensifersp.BR816) 
u1086 : 1408224.SAMCCGM7 c1071 (SinorhizobiumamericanumCCGM7) 
u1087 : 794846.AJQU01000006 gene946 (Sinorhizobiumsp.CCBAU05631) 
u1094 : 266779.Meso 2215 (Chelativoranssp.BNC1) 
u1095 : 935840.JAEQ01000002 gene3250 (Chelativoranssp.J32) 
u1100 : 1304275.C41B8 05036 (SalinisphaerahydrothermalisC41B8) 
u1101 : 1033802.SSPSH 000857 (SalinisphaerashabanensisE1L3A) 
u1103 : 1144319.PMI16 02820 (Herbaspirillumsp.CF444) 
u1104 : 864073.HFRIS 008136 (HerbaspirillumfrisingenseGSF30) 
u1105 : 757424.Hsero 3349 (HerbaspirillumseropedicaeSmR1) 
u1106 : 1175306.GWL 27610 (Herbaspirillumsp.GW103) 
u1110 : 1449065.JMLL01000010 gene196 (Phyllobacteriumsp.UNC302MFCol5.2) 
u1111 : 395965.Msil 0088 (MethylocellasilvestrisBL2) 
u1114 : 1205680.CAKO01000030 gene4958 (Reyranellamassiliensis521) 
u1115 : 243924.LT42 07460 (Pseudomonaslutea) 
u1116 : 95619.PM1 0219175 (Pseudomonassp.M1) 
u1117 : 1301098.PKB 4017 (PseudomonasknackmussiiB13) 
u1121 : 1005048.CFU 1378 (CollimonasfungivoransTer331) 
u1122 : 935548.KI912159 gene3561 (MesorhizobiumlotiR88b) 
u1123 : 1040982.AXAL01000009 gene6236 (MesorhizobiumlotiCJ3sym) 
u1129 : 365046.Rta 27390 (RamlibactertataouinensisTTB310) 
u1130 : 983917.RGE 19960 (RubrivivaxgelatinosusIL144) 
u1132 : 391165.GbCGDNIH1 1173 (GranulibacterbethesdensisCGDNIH1) 
u1133 : 107635.AZUO01000001 gene62 (Methylosinussp.LW3) 
u1135 : 1297865.APJD01000008 gene5581 (Bradyrhizobiumsp.OHSU_III) 
u1137 : 864051.BurJ1DRAFT 0151 (BurkholderialesbacteriumJOSHI_001) 
u1139 : 1532557.JL37 19170 (Achromobactersp.RTa) 
u1140 : 614083.AWQR01000053 gene3350 (RhodoferaxsaidenbachensisED16) 
u1141 : 748247.AZKH 3652 (Azoarcussp.KH32C) 
u1146 : 1187851.A33M 2390 (Rhodovulumsp.PH10) 
u1147 : 1230476.C207 06727 (Bradyrhizobiumsp.DFCI-1) 
u1148 : 1297865.APJD01000023 gene1126 (Bradyrhizobiumsp.OHSU_III) 
u1150 : 398525.KB900701 gene7130 (BradyrhizobiumelkaniiUSDA76) 
u1151 : 172088.AUGA01000012 gene7216 (Bradyrhizobiumsp.th.b2) 
u1155 : 1101192.KB910516 gene3651 (Methylobacteriumsp.77) 
u1156 : 1131813.AQVT01000001 gene3689 (Methylobacteriumsp.88A) 
u1157 : 1101191.KI912577 gene1210 (Methylobacteriumsp.10) 
u1160 : 113395.AXAI01000015 gene407 (Bradyrhizobiumsp.Tv2a-2) 
u1161 : 1040989.AWZU01000003 gene6790 (Bradyrhizobiumsp.ARR65) 
u1163 : 316056.RPC 2728 (RhodopseudomonaspalustrisBisB18) 
u1164 : 1245469.S58 35750 (BradyrhizobiumoligotrophicumS58) 
u1165 : 114615.BRADO4063 (Bradyrhizobiumsp.ORS278) 
u1166 : 288000.BBta 4439 (Bradyrhizobiumsp.BTAi1) 
u1173 : 440512.C211 19679 (Pseudomonassp.Chol1) 
u1174 : 477228.YO5 14096 (PseudomonasstutzeriTS44) 
u1176 : 257310.BB2049 (BordetellabronchisepticaRB50) 
u1178 : 28258.KP05 05165 (Cobetiamarina) 
u1179 : 553385.JEMF01000014 gene326 (Cobetiacrustatorum) 
u1181 : 349521.HCH 02299 (HahellachejuensisKCTC2396) 
u1182 : 1038867.AXAY01000006 gene3947 (Bradyrhizobiumsp.WSM3983) 
u1186 : 1054213.HMPREF9946 04232 (AcetobacteraceaebacteriumAT-5844) 
u1187 : 1217720.ALOX01000108 gene2149 (Roseomonassp.B5) 
u1189 : 666684.AfiDRAFT 3810 (Afipiasp.1NLS2) 
u1190 : 504832.OCAR 6709 (OligotrophacarboxidovoransOM5) 
u1193 : 1125973.JNLC01000017 gene3605 (Boseasp.117) 
u1195 : 1472716.KBK24 0106900 (Burkholderiasp.K24) 
u1196 : 1500897.JQNA01000002 gene4683 (Burkholderiasp.9120) 
u1198 : 640510.BC1001 4581 (Burkholderiasp.CCGE1001) 
u1199 : 640512.BC1003 4916 (Burkholderiasp.CCGE1003) 
u1200 : 944435.AXAJ01000005 gene3633 (Burkholderiasp.WSM2230) 
u1204 : 1038859.AXAU01000001 gene3481 (BradyrhizobiumelkaniiWSM1741) 
u1205 : 323097.Nham 0446 (NitrobacterhamburgensisX14) 
u1206 : 323098.Nwi 0351 (NitrobacterwinogradskyiNb-255) 
u1209 : 652103.Rpdx1 0195 (RhodopseudomonaspalustrisDX-1) 
u1210 : 258594.RPA0362 (RhodopseudomonaspalustrisCGA009) 
u1218 : 397945.Aave 2552 (AcidovoraxcitrulliAAC00-1) 
u1219 : 1268622.AVS7 01773 (Acidovoraxsp.MR-S7) 
u1220 : 535289.Dtpsy 1529 (AcidovoraxebreusTPSY) 
u1221 : 232721.Ajs 2328 (Acidovoraxsp.JS42) 
u1225 : 399795.CtesDRAFT PD2722 (ComamonastestosteroniKF-1) 
u1226 : 688245.CtCNB1 2080 (ComamonastestosteroniCNB-2) 
u1228 : 398578.Daci 4574 (DelftiaacidovoransSPH-1) 
u1230 : 358220.C380 13185 (Acidovoraxsp.KKS102) 
