u1 : 709797.CSIRO 3456 (BradyrhizobiaceaebacteriumSG-6C) 
u732 : 1403313.AXBR01000024 gene4793 (BacillussimplexBA2H3) 
u733 : 1382305.AZUC01000046 gene402 (Sporosarcinasp.D27) 
u738 : 1408254.T458 11155 (BrevibacilluspanacihumiW25) 
u740 : 332101.JIBU02000047 gene3560 (Clostridiumdrakei) 
u741 : 1196028.ALEF01000035 gene1010 (Virgibacillushalodenitrificans1806) 
u742 : 1071073.KI530534 gene707 (Bacillussp.NSP22.2) 
u743 : 1121929.KB898665 gene2908 (GracilibacilluslacisalsiDSM19029) 
u744 : 1298598.JCM21714 3876 (GracilibacillusboraciitoleransJCM21714) 
u746 : 1382305.AZUC01000063 gene3301 (Sporosarcinasp.D27) 
u747 : 558169.AGAV01000003 gene2692 (Lentibacillusjeotgali) 
u756 : 526218.Sterm 3351 (SebaldellatermitidisATCC33386) 
u757 : 1121090.KB894686 gene2868 (BacillusfordiiDSM16014) 
u758 : 1294265.JCM21738 3555 (BacillusboroniphilusJCM21738) 
u759 : 1117379.BABA 00325 (BacillusbataviensisLMG21833) 
u760 : 1131730.BAVI 06554 (BacillusviretiLMG21834) 
u762 : 1117379.BABA 08551 (BacillusbataviensisLMG21833) 
u768 : 1304866.K413DRAFT 5359 (Clostridiumsp.ASBs410) 
u769 : 610130.Closa 3340 ([Clostridium]saccharolyticumWM1) 
u770 : 1298920.KI911353 gene3883 ([Desulfotomaculum]guttoideumDSM4024) 
u773 : 180332.JTGN01000011 gene487 (Robinsoniellapeoriensis) 
u775 : 1449050.JNLE01000003 gene325 (Clostridiumsp.KNHs205) 
u779 : 411468.CLOSCI 02046 ([Clostridium]scindensATCC35704) 
u780 : 500632.CLONEX 02210 (TyzzerellanexilisDSM1787) 
u782 : 97139.C824 02286 (Clostridiumsp.ASF502) 
u783 : 1235792.C808 00309 (LachnospiraceaebacteriumM18-1) 
u787 : 333138.LQ50 02765 (Bacillusokhensis) 
u788 : 935837.JAEK01000015 gene5009 (Bacillussp.J37) 
u789 : 279010.BL01788 (BacilluslicheniformisDSM13) 
u794 : 1158607.UAU 04038 (EnterococcuspallensATCCBAA-351) 
u795 : 1158601.I585 02291 (EnterococcusmalodoratusATCC43197) 
u796 : 1158614.I592 03987 (EnterococcusgilvusATCCBAA-350) 
u800 : 1460640.JCM19046 4802 (Bacillussp.JCM19046) 
u801 : 1246626.BleG1 0472 (BacilluslehensisG1) 
u804 : 1009370.ALO 07713 (AcetonemalongumDSM6540) 
u805 : 563192.HMPREF0179 02588 (Bilophilawadsworthia3_1_6) 
u806 : 1408428.JNJP01000055 gene140 (BilophilawadsworthiaATCC49260) 
u808 : 1120985.AUMI01000011 gene266 (AnaeroarcusburkinensisDSM6283) 
u809 : 1123288.SOV 1c13370 (SporomusaovataDSM2662) 
u810 : 484770.UFO1 3641 (Pelosinussp.UFO1) 
u815 : 1123252.ATZF01000002 gene2349 (ShimazuellakribbensisDSM45090) 
u816 : 484770.UFO1 3640 (Pelosinussp.UFO1) 
u817 : 1123288.SOV 1c13350 (SporomusaovataDSM2662) 
u819 : 641107.CDLVIII 4391 (Clostridiumsp.DL-VIII) 
u820 : 1196322.A370 00690 (Clostridiumsp.MaddingleyMBC34-26) 
u825 : 536232.CLM 0800 (ClostridiumbotulinumA2str.Kyoto) 
u826 : 176279.SERP2520 (StaphylococcusepidermidisRP62A) 
u827 : 1232666.JANE01000001 gene171 (Staphylococcussciurisubsp.sciuriZ8) 
u829 : 1280.SAXN108 0047 (Staphylococcusaureus) 
u831 : 984892.SPSE 1775 (StaphylococcuspseudintermediusED99) 
u832 : 176280.SE 1607 (StaphylococcusepidermidisATCC12228) 
u833 : 176279.SERP1460 (StaphylococcusepidermidisRP62A) 
u836 : 904314.SEVCU012 1311 (StaphylococcuspettenkoferiVCU012) 
u837 : 1229783.C273 11181 (StaphylococcusmassiliensisS46) 
u838 : 698737.SLGD 00887 (StaphylococcuslugdunensisHKU09-01) 
u839 : 698737.SLGD 01660 (StaphylococcuslugdunensisHKU09-01) 
u841 : 279808.SH1763 (StaphylococcushaemolyticusJCSC1435) 
u842 : 1220551.SCHR 11199 (StaphylococcuschromogenesMU970) 
u843 : 984892.SPSE 2388 (StaphylococcuspseudintermediusED99) 
u845 : 1280.SAXN108 2840 (Staphylococcusaureus) 
u855 : 658086.HMPREF0994 05461 (Lachnospiraceaebacterium3_1_57FAA_CT1) 
u856 : 1226325.HMPREF1548 01852 (Clostridiumsp.KLE1755) 
u858 : 1235802.C823 05785 (EubacteriumplexicaudatumASF492) 
u859 : 1230342.CTM 08131 (ClostridiumtetanomorphumDSM665) 
u860 : 1230342.CTM 22023 (ClostridiumtetanomorphumDSM665) 
u862 : 1410653.JHVC01000021 gene1297 (ClostridiumlundenseDSM17049) 
u866 : 397291.C804 00319 (LachnospiraceaebacteriumA4) 
u867 : 1235790.C805 01966 (Eubacteriumsp.14-2) 
u868 : 397290.C810 02456 (LachnospiraceaebacteriumA2) 
u870 : 1235800.C819 00386 (Lachnospiraceaebacterium10-1) 
u872 : 1280698.AUJS01000030 gene1934 (DorealongicatenaAGR2136) 
u873 : 500632.CLONEX 02212 (TyzzerellanexilisDSM1787) 
u877 : 457421.CBFG 00766 (Clostridialesbacterium1_7_47FAA) 
u879 : 1235793.C809 03745 (LachnospiraceaebacteriumCOE1) 
u881 : 1122217.KB899580 gene1644 (MegamonasrupellensisDSM19944) 
u882 : 1122216.AUHW01000010 gene1301 (MegamonashypermegaleDSM1672) 
u888 : 517418.Ctha 1121 (ChloroherpetonthalassiumATCC35110) 
u889 : 290512.Paes 1435 (ProsthecochlorisaestuariiDSM271) 
u890 : 331678.Cphamn1 1050 (ChlorobiumphaeobacteroidesBS1) 
u892 : 290317.Cpha266 1596 (ChlorobiumphaeobacteroidesDSM266) 
u893 : 324925.Ppha 1109 (PelodictyonphaeoclathratiformeBU-1) 
u900 : 1346330.M472 20055 (SphingobacteriumpaucimobilisHER1398) 
u901 : 742817.HMPREF9449 00562 (OdoribacterlaneusYIT12061) 
u902 : 1008457.BAEX01000166 gene2658 (MyroidesinjenensisM09-0166) 
u904 : 991.IW20 12145 (Flavobacteriumhydatis) 
u905 : 992406.RIA 0366 (RiemerellaanatipestiferRA-GD) 
u908 : 1392498.JQLH01000001 gene2333 (MaribacterforsetiiDSM18668) 
u909 : 1249997.JHZW01000002 gene369 (Maribactersp.Hel_I_7) 
u910 : 1121912.AUHD01000005 gene1681 (GelidibactermesophilusDSM14095) 
u913 : 1121904.ARBP01000001 gene5411 (FlexithrixdorotheaeDSM6795) 
u914 : 926559.JoomaDRAFT 2102 (JoostellamarinaDSM19592) 
u915 : 391603.FBALC1 08253 (FlavobacterialesbacteriumALC-1) 
u920 : 1380384.JADN01000003 gene610 (Tenacibaculumsp.47A_GOM-205m) 
u922 : 984262.SGRA 0359 (Saprospiragrandisstr.Lewin) 
u925 : 1122179.KB890436 gene1366 (LewinellapersicaDSM23188) 
u927 : 1227739.Hsw 0995 (HymenobacterswuensisDY53) 
u928 : 1356852.N008 13815 (Hymenobactersp.APR13) 
u931 : 1313421.JHBV01000043 gene3143 (Aureispirasp.CCB-QB1) 
u933 : 992406.RIA 2139 (RiemerellaanatipestiferRA-GD) 
u934 : 1196029.ALIM01000032 gene1431 (Bacillusendophyticus2102) 
u935 : 218284.CCDN010000002 gene2364 (Bacillusvietnamensis) 
u936 : 1403313.AXBR01000024 gene4540 (BacillussimplexBA2H3) 
u938 : 1305836.AXVE01000006 gene308 (Sporosarcinasp.EUR32.2.2) 
u939 : 935836.JAEL01000009 gene3864 (Bacillussp.J33) 
u940 : 665959.HMPREF1013 03386 (Bacillussp.2_A_57_CT2) 
u941 : 1196031.ALEG01000069 gene676 (Bacillusoceanisediminis2691) 
u946 : 333138.LQ50 02750 (Bacillusokhensis) 
u947 : 66692.ABC3481 (BacillusclausiiKSM-K16) 
u948 : 1122947.FR7 2644 (PelosinusfermentansDSM17108) 
u949 : 1042163.BRLA c003130 (BrevibacilluslaterosporusLMG15441) 
u950 : 1121121.KB894298 gene4012 (BrevibacilluslaterosporusDSM25) 
u952 : 1196029.ALIM01000004 gene4292 (Bacillusendophyticus2102) 
u953 : 720555.BATR1942 19650 (Bacillusatrophaeus1942) 
u954 : 224308.BSU02090 (Bacillussubtilissubsp.subtilisstr.168) 
u957 : 1423321.AS29 14800 (Bacillussp.SJS) 
u958 : 720555.BATR1942 00355 (Bacillusatrophaeus1942) 
u963 : 1196029.ALIM01000051 gene65 (Bacillusendophyticus2102) 
u964 : 315750.BPUM 2340 (BacilluspumilusSAFR-032) 
u972 : 485918.Cpin 0907 (ChitinophagapinensisDSM2588) 
u973 : 1267211.KI669560 gene71 (Sediminibacteriumsp.C3) 
u974 : 1123248.KB893348 gene257 (SegetibacterkoreensisDSM18137) 
u975 : 700598.Niako 6692 (NiastellakoreensisGR20-10) 
u978 : 929713.NIASO 12475 (NiabellasoliDSM19437) 
u979 : 1122605.KB893647 gene396 (NiabellaaurantiacaDSM17617) 
u985 : 103690.17131572 (Nostocsp.PCC7120) 
u986 : 163908.KB235896 gene1686 (Anabaenasp.PCC7108) 
u987 : 272123.Anacy 0698 (AnabaenacylindricaPCC7122) 
u989 : 1173024.KI912151 gene1704 (Fischerellasp.PCC9605) 
u990 : 63737.Npun F3980 (NostocpunctiformePCC73102) 
u991 : 306281.AJLK01000182 gene3282 (FischerellamuscicolaPCC7414) 
u996 : 1541065.JRFE01000025 gene1992 (Myxosarcinasp.GI1) 
u997 : 118161.KB235922 gene5719 (Pleurocapsasp.PCC7319) 
u998 : 111780.Sta7437 3913 (StanieriacyanosphaeraPCC7437) 
u1001 : 1229172.JQFA01000002 gene4759 (Leptolyngbyasp.KIOST-1) 
u1002 : 329726.AM1 4306 (AcaryochlorismarinaMBIC11017) 
u1003 : 1385935.N836 04870 (Leptolyngbyasp.HeronIslandJ) 
u1004 : 102129.Lepto7375DRAFT 7708 (Leptolyngbyasp.PCC7375) 
u1008 : 113355.CM001775 gene3468 (GeminocystisherdmaniiPCC6308) 
u1009 : 56110.Oscil6304 5014 (OscillatoriaacuminataPCC6304) 
u1010 : 1173029.JH980292 gene4277 (SpirulinasubsalsaPCC9445) 
u1011 : 1407650.BAUB01000018 gene2430 (Synechococcussp.NKBG15041c) 
u1015 : 1173020.Cha6605 2536 (ChamaesiphonminutusPCC6605) 
u1016 : 118166.JH976538 gene5445 (NodosilineanodulosaPCC7104) 
u1017 : 1173025.GEI7407 2198 (Geitlerinemasp.PCC7407) 
u1019 : 756067.MicvaDRAFT 3369 (MicrocoleusvaginatusFGP-2) 
u1020 : 179408.Osc7112 5534 (Oscillatorianigro-viridisPCC7112) 
u1022 : 402777.KB235904 gene3802 (KamptonemaformosumPCC6407) 
u1023 : 1173023.KE650771 gene356 (Fischerellasp.PCC9431) 
u1024 : 211165.AJLN01000062 gene3883 (ChlorogloeopsisfritschiiPCC6912) 
u1034 : 927677.ALVU02000001 gene2013 (Synechocystissp.PCC7509) 
u1035 : 1173026.Glo7428 2730 (Gloeocapsasp.PCC7428) 
u1038 : 269798.CHU 1887 (CytophagahutchinsoniiATCC33406) 
u1039 : 1270196.JCKI01000006 gene2650 (Pedobactersp.R20-19) 
u1042 : 1048983.EL17 20720 (Anditaleaandensis) 
u1043 : 1185876.BN8 00751 (FibrisomalimiBUZ3) 
u1044 : 1123276.KB893313 gene3928 (SpirosomaluteumDSM19990) 
u1045 : 1123278.KB893444 gene1719 (SpirosomaspitsbergenseDSM19989) 
u1048 : 760192.Halhy 1719 (HaliscomenobacterhydrossisDSM1100) 
u1049 : 929562.Emtol 2018 (EmticiciaoligotrophicaDSM17448) 
u1050 : 714943.Mucpa 6343 (MucilaginibacterpaludisDSM18603) 
u1054 : 743722.Sph21 2800 (Sphingobacteriumsp.21) 
u1055 : 313606.M23134 01068 (MicroscillamarinaATCC23134) 
u1056 : 1434325.AZQN01000003 gene2458 (DyadobactertibetensisY620-1) 
u1060 : 525373.HMPREF0766 13310 (SphingobacteriumspiritivorumATCC33861) 
u1061 : 509635.N824 22165 (Pedobactersp.V48) 
u1062 : 1121098.HMPREF1534 01148 (BacteroidesmassiliensisB84634) 
u1063 : 1048983.EL17 21830 (Anditaleaandensis) 
u1065 : 421531.IX38 16245 (Chryseobacteriumluteum) 
u1066 : 307480.IW16 25925 (Chryseobacteriumvrystaatense) 
u1067 : 991.IW20 22680 (Flavobacteriumhydatis) 
u1075 : 1121904.ARBP01000048 gene4117 (FlexithrixdorotheaeDSM6795) 
u1076 : 655815.ZPR 0717 (ZunongwangiaprofundaSM-A87) 
u1078 : 526218.Sterm 3353 (SebaldellatermitidisATCC33386) 
u1079 : 526218.Sterm 0301 (SebaldellatermitidisATCC33386) 
u1082 : 929562.Emtol 1902 (EmticiciaoligotrophicaDSM17448) 
u1089 : 331869.BAL199 26132 (alphaproteobacteriumBAL199) 
u1090 : 1101190.ARWB01000001 gene1813 (Methylopilasp.M107) 
u1091 : 1120792.JAFV01000001 gene1609 (Methylopilasp.73B) 
u1094 : 526222.Desal 3073 (DesulfovibriosalexigensDSM2638) 
u1097 : 1121440.AUMA01000009 gene604 (DesulfovibrioaminophilusDSM12254) 
u1098 : 887062.HGR 08939 (HylemonellagracilisATCC19624) 
u1099 : 1458275.AZ34 17180 (Hylemonellagracilisstr.NiagaraR) 
u1101 : 398578.Daci 2332 (DelftiaacidovoransSPH-1) 
u1102 : 688245.CtCNB1 2597 (ComamonastestosteroniCNB-2) 
u1105 : 1286106.MPL1 02688 (MethylophagalonarensisMPL) 
u1106 : 398579.Spea 2637 (ShewanellapealeanaATCC700345) 
u1107 : 458817.Shal 2710 (ShewanellahalifaxensisHAW-EB4) 
u1109 : 765914.ThisiDRAFT 0902 (ThiorhodospirasibiricaATCC700588) 
u1110 : 1323663.AROI01000003 gene2375 (PseudomonaspelagiaCL-AP6) 
u1111 : 1407650.BAUB01000024 gene2704 (Synechococcussp.NKBG15041c) 
u1112 : 1148.1001809 (Synechocystissp.PCC6803) 
u1118 : 506534.Rhein 2116 (Rheinheimerasp.A13L) 
u1120 : 283942.IL1808 (IdiomarinaloihiensisL2TR) 
u1123 : 1286093.C266 16555 (Pandoraeasp.SD6-2) 
u1124 : 93220.LV28 08570 (Pandoraeapnomenusa) 
u1128 : 225849.swp 4470 (ShewanellapiezotoleransWP3) 
u1129 : 1336233.JAEH01000006 gene2284 (ShewanellawaksmaniiATCCBAA-643) 
u1130 : 1565129.JSFF01000002 gene3393 (Shewanellasp.ECSMB14101) 
u1131 : 323850.Shew 3220 (ShewanellaloihicaPV-4) 
u1134 : 319224.Sputcn32 3157 (ShewanellaputrefaciensCN-32) 
u1135 : 211586.SO 0837 (ShewanellaoneidensisMR-1) 
u1136 : 94122.Shewana3 3440 (Shewanellasp.ANA-3) 
